route_id,technical_route_number
1074000000001,null
1074000000002,null
1074000000003,null
1074000000004,null
1074000000005,null
1074000000006,null
1074000000007,null
1074000000008,null
1074000000009,null
1074000000010,null
1074000000011,null
1074000000012,null
1074000000013,null
1074000000014,null
1074000000015,null
1074000000016,null
1074000000017,null
1074000000018,null
1074000000019,null
1074000000020,null
1074000000021,null
1074000000022,null
1074000000023,null
1074000000024,null
1074000000025,null
1074000000026,null
1074000000027,null
1074000000028,null
1074000000029,null
1074000000030,null
1074000000031,null
1074000000032,null
1074000000033,null
1074000000034,null
1074000000035,null
1074000000036,null
1074000000037,null
1074000000038,null
1074000000039,null
1074000000040,null
1074000000041,null
1074000000042,null
1074000000043,null
1074000000044,null
1074000000045,null
1074000000046,null
1074000000047,null
1074000000048,null
1074000000049,null
1074000000050,null
1074000000051,null
1074000000052,null
1074000000053,null
1074000000054,null
1074000000055,null
1074000000056,null
1074000000057,null
1074000000058,null
1074000000059,null
1074000000060,null
1074000000061,null
1074000000062,null
1074000000063,null
1074000000064,null
1074000000065,null
1074000000066,null
1074000000067,null
1074000000068,null
1074000000069,null
1074000000070,null
1074000000071,null
1074000000072,null
1074000000073,null
1074000000074,null
1074000000075,null
1074000000076,null
1074000000077,null
1074000000078,null
1074000000079,null
1074000000080,null
1074000000081,null
1074000000082,null
1074000000083,null
1074000000084,null
1074000000085,null
1074000000086,null
1074000000087,null
1074000000088,null
1074000000089,null
1074000000090,null
1074000000091,null
1074000000092,null
1074000000093,null
1074000000094,null
1074000000095,null
1074000000096,null
1074000000097,null
1074000000098,null
1074000000099,null
1074000000100,null
1074000000101,null
1074000000102,null
1074000000103,null
1074000000104,null
1074000000105,null
1074000000106,null
1074000000107,null
1074000000108,null
1074000000109,null
1074000000110,null
1074000000111,null
1074000000112,null
1074000000113,null
1074000000114,null
1074000000115,null
1074000000116,null
1074000000117,null
1074000000118,null
1074000000119,null
1074000000120,null
1074000000121,null
1074000000122,null
1074000000123,null
1074000000124,null
1074000000125,null
1074000000126,null
1074000000127,null
1074000000128,null
1074000000129,null
1074000000130,null
1074000000131,null
1074000000132,null
1074000000133,null
1074000000134,null
1074000000135,null
1074000000136,null
1074000000137,null
1074000000138,null
1074000000139,null
1074000000140,null
1074000000141,null
1074000000142,null
1074000000143,null
1074000000144,null
1074000000145,null
1074000000146,null
1074000000147,null
1074000000148,null
1074000000149,null
1074000000150,null
1074000000151,null
1074000000152,null
1074000000153,null
1074000000154,null
1074000000155,null
1074000000156,null
1074000000157,null
1074000000158,null
1074000000159,null
1074000000160,null
1074000000161,null
1074000000162,null
1074000000163,null
1074000000164,null
1074000000165,null
1074000000166,null
1074000000167,null
1074000000168,null
1074000000169,null
1074000000170,null
1074000000171,null
1074000000172,null
1074000000173,null
1074000000174,null
1074000000175,null
1074000000176,null
1074000000177,null
1074000000178,null
1074000000179,null
1074000000180,null
1074000000181,null
1074000000182,null
1074000000183,null
1074000000184,null
1074000000185,null
1074000000186,null
1074000000187,null
1074000000188,null
1074000000189,null
1074000000190,null
1074000000191,null
1074000000192,null
1074000000193,null
1074000000194,null
1074000000195,null
1074000000196,null
1074000000197,null
1074000000198,null
1074000000199,null
1074000000200,null
1074000000201,null
1074000000202,null
1074000000203,null
1074000000204,null
1074000000205,null
1074000000206,null
1074000000207,null
1074000000208,null
1074000000209,null
1074000000210,null
1074000000211,null
1074000000212,null
1074000000213,null
1074000000214,null
1074000000215,null
1074000000216,null
1074000000217,null
1074000000218,null
1074000000219,null
1074000000220,null
1074000000221,null
1074000000222,null
1074000000223,null
1074000000224,null
1074000000225,null
1074000000226,null
1074000000227,null
1074000000228,null
1074000000229,null
1074000000230,null
1074000000231,null
1074000000232,null
1074000000233,null
1074000000234,null
1074000000235,null
1074000000236,null
1074000000237,null
1074000000238,null
1074000000239,null
1074000000240,null
1074000000241,null
1074000000242,null
1074000000243,null
1074000000244,null
1074000000245,null
1074000000246,null
1074000000247,null
1074000000248,null
1074000000249,null
1074000000250,null
1074000000251,null
1074000000252,null
1074000000253,null
1074000000254,null
1074000000255,null
1074000000256,null
1074000000257,null
1074000000258,null
1074000000259,null
1074000000260,null
1074000000261,null
1074000000262,null
1074000000263,null
1074000000264,null
1074000000265,null
1074000000266,null
1074000000267,null
1074000000268,null
1074000000269,null
1074000000270,null
1074000000271,null
1074000000272,null
1074000000273,null
1074000000274,null
1074000000275,null
1074000000276,null
1074000000277,null
1074000000278,null
1074000000279,null
1074000000280,null
1074000000281,null
1074000000282,null
1074000000283,null
1074000000284,null
1074000000285,null
1074000000286,null
1074000000287,null
1074000000288,null
1074000000289,null
1074000000290,null
1074000000291,null
1074000000292,null
1074000000293,null
1074000000294,null
1074000000295,null
1074000000296,null
1074000000297,null
1074000000298,null
1074000000299,null
1074000000300,null
1074000000301,null
1074000000302,null
1074000000303,null
1074000000304,null
1074000000305,null
1074000000306,null
1074000000307,null
1074000000308,null
1074000000309,null
1074000000310,null
1074000000311,null
1074000000312,null
1074000000313,null
1074000000314,null
1074000000315,null
1074000000316,null
1074000000317,null
1074000000318,null
1074000000319,null
1074000000320,null
1074000000321,null
1074000000322,null
1074000000323,null
1074000000324,null
1074000000325,null
1074000000326,null
1074000000327,null
1074000000328,null
1074000000329,null
1074000000330,null
1074000000331,null
1074000000332,null
1074000000333,null
1074000000334,null
1074000000335,null
1074000000336,null
1074000000337,null
1074000000338,null
1074000000339,null
1074000000340,null
1074000000341,null
1074000000342,null
1074000000343,null
1074000000344,null
1074000000345,null
1074000000346,null
1074000000347,null
1074000000348,null
1074000000349,null
1074000000350,null
1074000000351,null
1074000000352,null
1074000000353,null
1074000000354,null
1074000000355,null
1074000000356,null
1074000000357,null
1074000000358,null
1074000000359,null
1074000000360,null
1074000000361,null
1074000000362,null
1074000000363,null
1074000000364,null
1074000000365,null
1074000000366,null
1074000000367,null
1074000000368,null
1074000000369,null
1074000000370,null
1074000000371,null
1074000000372,null
1074000000373,null
1074000000374,null
1074000000375,null
1074000000376,null
1074000000377,null
1074000000378,null
1074000000379,null
1074000000380,null
1074000000381,null
1074000000382,null
1074000000383,null
1074000000384,null
1074000000385,null
1074000000386,null
1074000000387,null
1074000000388,null
1074000000389,null
1074000000390,null
1074000000391,null
1074000000392,null
1074000000393,null
1074000000394,null
1074000000395,null
1074000000396,null
1074000000397,null
1074000000398,null
1074000000399,null
1074000000400,null
1074000000401,null
1074000000402,null
1074000000403,null
1074000000404,null
1074000000405,null
1074000000406,null
1074000000407,null
1074000000408,null
1074000000409,null
1074000000410,null
1074000000411,null
1074000000412,null
1074000000413,null
1074000000414,null
1074000000415,null
1074000000416,null
1074000000417,null
1074000000418,null
1074000000419,null
1074000000420,null
1074000000421,null
1074000000422,null
1074000000423,null
1074000000424,null
1074000000425,null
1074000000426,null
1074000000427,null
1074000000428,null
1074000000429,null
1074000000430,null
1074000000431,null
1074000000432,null
1074000000433,null
1074000000434,null
1074000000435,null
1074000000436,null
1074000000437,null
1074000000438,null
1074000000439,null
1074000000440,null
1074000000441,null
1074000000442,null
1074000000443,null
1074000000444,null
1074000000445,null
1074000000446,null
1074000000447,null
1074000000448,null
1074000000449,null
1074000000450,null
1074000000451,null
1074000000452,null
1074000000453,null
1074000000454,null
1074000000455,null
1074000000456,null
1074000000457,null
1074000000458,null
1074000000459,null
1074000000460,null
1074000000461,null
1074000000462,null
1074000000463,null
1074000000464,null
1074000000465,null
1074000000466,null
1074000000467,null
1074000000468,null
1074000000469,null
1074000000470,null
1074000000471,null
1074000000472,null
1074000000473,null
1074000000474,null
1074000000475,null
1074000000476,null
1074000000477,null
1074000000478,null
1074000000479,null
1074000000480,null
1074000000481,null
1074000000482,null
1074000000483,null
1074000000484,null
1074000000485,null
1074000000486,null
1074000000487,null
1074000000488,null
1074000000489,null
1074000000490,null
1074000000491,null
1074000000492,null
1074000000493,null
1074000000494,null
1074000000495,null
1074000000496,null
1074000000497,null
1074000000498,null
1074000000499,null
1074000000500,null
1074000000501,null
1074000000502,null
1074000000503,null
1074000100001,1
1074000100002,1
1074000200001,2
1074001000001,10
1074001100001,11
1074001200001,12
1074001300001,13
1074001400001,14
1074001500001,15
1074001600001,16
1074001600002,16
1074001700001,17
1074001700002,17
1074001800001,18
1074001900001,19
1074001900002,19
1074002000001,20
1074002100001,21
1074002200001,22
1074002300001,23
1074002300002,23
1074002500001,25
1074002600001,26
1074002700001,27
1074003100001,31
1074003200001,32
1074003600001,36
1074003900001,39
1074004100001,41
1074004200001,42
1074004300001,43
1074004500001,45
1074004600001,46
1074004700001,47
1074004800001,48
1074004900001,49
1074005100001,51
1074005400001,54
1074007000001,70
1074007000002,70
1074007100001,71
1074007100002,71
1074007400001,74
1074007400002,74
1074007700001,77
1074007700002,77
1074008000001,80
1074008500001,85
1074015300001,153
1074015600001,156
1074015600002,156
1074015700001,157
1074015800001,158
1074015800002,158
1074015900001,159
1074015900002,159
1074016000001,160
1074016000002,160
1074016100001,161
1074016100002,161
1074016100003,161
1074016200001,162
1074016200002,162
1074016200003,162
1074016300001,163
1074016300002,163
1074016300003,163
1074016400001,164
1074016400002,164
1074016400003,164
1074016500001,165
1074016500002,165
1074016500003,165
1074016600001,166
1074016600002,166
1074016600003,166
1074016700001,167
1074016700002,167
1074016700003,167
1074016800001,168
1074016800002,168
1074016800003,168
1074016900001,169
1074016900002,169
1074016900003,169
1074017000001,170
1074017000002,170
1074017000003,170
1074017100001,171
1074017100002,171
1074017100003,171
1074017200001,172
1074017200002,172
1074017200003,172
1074017300001,173
1074017300002,173
1074017300003,173
1074017400001,174
1074017400002,174
1074017400003,174
1074017500001,175
1074017500002,175
1074017500003,175
1074017600001,176
1074017600002,176
1074017600003,176
1074017700001,177
1074017700002,177
1074017700003,177
1074017800001,178
1074017800002,178
1074017800003,178
1074017900001,179
1074017900002,179
1074017900003,179
1074018000001,180
1074018000002,180
1074018000003,180
1074018100001,181
1074018100002,181
1074018100003,181
1074018200001,182
1074018200002,182
1074018200003,182
1074018300001,183
1074018300002,183
1074018300003,183
1074018400001,184
1074018400002,184
1074018400003,184
1074018500001,185
1074018500002,185
1074018500003,185
1074018600001,186
1074018600002,186
1074018600003,186
1074018700001,187
1074018700002,187
1074018800001,188
1074018800002,188
