route_id,agency_id,route_short_name,route_long_name,route_type,route_desc
9011014130100000-3797,505000000000000014,3797,Västtågen,100,
9011014130300000,505000000000000014,13792,Västtågen,100,
9011014130300000-13793,505000000000000014,13793,Västtågen,100,
9011014130300000-13794,505000000000000014,13794,Västtågen,100,
9011014130300000-13795,505000000000000014,13795,Västtågen,100,
9011014130300000-13796,505000000000000014,13796,Västtågen,100,
9011014131100000,505000000000000014,3500,Västtågen,100,
9011014131100000-13506,505000000000000014,13506,Västtågen,100,
9011014131100000-13507,505000000000000014,13507,Västtågen,100,
9011014131100000-13510,505000000000000014,13510,Västtågen,100,
9011014131100000-13521,505000000000000014,13521,Västtågen,100,
9011014131100000-13571,505000000000000014,13571,Västtågen,100,
9011014131100000-13573,505000000000000014,13573,Västtågen,100,
9011014131100000-13574,505000000000000014,13574,Västtågen,100,
9011014131100000-13575,505000000000000014,13575,Västtågen,100,
9011014131100000-13576,505000000000000014,13576,Västtågen,100,
9011014131100000-13577,505000000000000014,13577,Västtågen,100,
9011014131100000-3501,505000000000000014,3501,Västtågen,100,
9011014131100000-3502,505000000000000014,3502,Västtågen,100,
9011014131100000-3504,505000000000000014,3504,Västtågen,100,
9011014131100000-3505,505000000000000014,3505,Västtågen,100,
9011014131100000-3508,505000000000000014,3508,Västtågen,100,
9011014131100000-3512,505000000000000014,3512,Västtågen,100,
9011014131100000-3513,505000000000000014,3513,Västtågen,100,
9011014131100000-3514,505000000000000014,3514,Västtågen,100,
9011014131100000-3515,505000000000000014,3515,Västtågen,100,
9011014131100000-3517,505000000000000014,3517,Västtågen,100,
9011014131100000-3518,505000000000000014,3518,Västtågen,100,
9011014131100000-3519,505000000000000014,3519,Västtågen,100,
9011014131100000-3520,505000000000000014,3520,Västtågen,100,
9011014131100000-3521,505000000000000014,3521,Västtågen,100,
9011014131100000-3522,505000000000000014,3522,Västtågen,100,
9011014131100000-3523,505000000000000014,3523,Västtågen,100,
9011014131100000-3524,505000000000000014,3524,Västtågen,100,
9011014131100000-3525,505000000000000014,3525,Västtågen,100,
9011014131100000-3526,505000000000000014,3526,Västtågen,100,
9011014131100000-3527,505000000000000014,3527,Västtågen,100,
9011014131100000-3528,505000000000000014,3528,Västtågen,100,
9011014131100000-3529,505000000000000014,3529,Västtågen,100,
9011014131100000-3530,505000000000000014,3530,Västtågen,100,
9011014131100000-3531,505000000000000014,3531,Västtågen,100,
9011014131100000-3532,505000000000000014,3532,Västtågen,100,
9011014131100000-3533,505000000000000014,3533,Västtågen,100,
9011014131100000-3534,505000000000000014,3534,Västtågen,100,
9011014131100000-3535,505000000000000014,3535,Västtågen,100,
9011014131100000-3536,505000000000000014,3536,Västtågen,100,
9011014131100000-3537,505000000000000014,3537,Västtågen,100,
9011014131100000-3538,505000000000000014,3538,Västtågen,100,
9011014131100000-3539,505000000000000014,3539,Västtågen,100,
