,from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id,stop_id,stop_name,stop_lat,stop_lon,location_type
57,740000001,740000001,2,12000,23130000000940.0,20740437003230.0,740000001,Stockholm Centralstation,59.33014,18.058155,
58,740000001,740000001,2,12000,23130000000940.0,20740437019358.0,740000001,Stockholm Centralstation,59.33014,18.058155,
59,740000001,740000001,2,12000,23130000000940.0,20740437047006.0,740000001,Stockholm Centralstation,59.33014,18.058155,
60,740000001,740000001,2,12000,23130000000940.0,20740437054430.0,740000001,Stockholm Centralstation,59.33014,18.058155,
61,740000001,740000001,2,12000,23130000000940.0,20740437000670.0,740000001,Stockholm Centralstation,59.33014,18.058155,
62,740000001,740000001,2,12000,23130000000940.0,20740437011166.0,740000001,Stockholm Centralstation,59.33014,18.058155,
63,740000001,740000001,2,12000,23130000000940.0,20740437017310.0,740000001,Stockholm Centralstation,59.33014,18.058155,
64,740000001,740000001,2,12000,23130000000940.0,20740437022942.0,740000001,Stockholm Centralstation,59.33014,18.058155,
65,740000001,740000001,2,12000,23130000010352.0,20740433051743.0,740000001,Stockholm Centralstation,59.33014,18.058155,
66,740000001,740000001,2,12000,23130000010352.0,20740433002079.0,740000001,Stockholm Centralstation,59.33014,18.058155,
67,740000001,740000001,2,12000,23130000010352.0,20740433024351.0,740000001,Stockholm Centralstation,59.33014,18.058155,
68,740000001,740000001,2,12000,23130000010352.0,20740433013855.0,740000001,Stockholm Centralstation,59.33014,18.058155,
69,740000001,740000001,2,12000,23130000010352.0,20740433005919.0,740000001,Stockholm Centralstation,59.33014,18.058155,
70,740000001,740000001,2,12000,23130000010352.0,20740433012831.0,740000001,Stockholm Centralstation,59.33014,18.058155,
71,740000001,740000001,2,12000,23130000010352.0,20740433006943.0,740000001,Stockholm Centralstation,59.33014,18.058155,
72,740000001,740000001,2,12000,23130000010352.0,20740433052511.0,740000001,Stockholm Centralstation,59.33014,18.058155,
73,740000001,740000001,2,12000,23130000010352.0,20740433038175.0,740000001,Stockholm Centralstation,59.33014,18.058155,
74,740000001,740000001,2,12000,23130000000928.0,20740431009187.0,740000001,Stockholm Centralstation,59.33014,18.058155,
75,740000001,740000001,2,12000,23130000000928.0,20740431015587.0,740000001,Stockholm Centralstation,59.33014,18.058155,
76,740000001,740000001,2,12000,23130000000928.0,20740431036835.0,740000001,Stockholm Centralstation,59.33014,18.058155,
77,740000001,740000001,2,12000,23130000000928.0,20740431036323.0,740000001,Stockholm Centralstation,59.33014,18.058155,
78,740000001,740000001,2,12000,23130000010358.0,20740431009187.0,740000001,Stockholm Centralstation,59.33014,18.058155,
79,740000001,740000001,2,12000,23130000010358.0,20740431015587.0,740000001,Stockholm Centralstation,59.33014,18.058155,
80,740000001,740000001,2,12000,23130000010358.0,20740431036835.0,740000001,Stockholm Centralstation,59.33014,18.058155,
81,740000001,740000001,2,12000,23130000010358.0,20740431036323.0,740000001,Stockholm Centralstation,59.33014,18.058155,
82,740000001,740000001,2,12000,23130000010360.0,20740433051743.0,740000001,Stockholm Centralstation,59.33014,18.058155,
83,740000001,740000001,2,12000,23130000010360.0,20740433002079.0,740000001,Stockholm Centralstation,59.33014,18.058155,
84,740000001,740000001,2,12000,23130000010360.0,20740433024351.0,740000001,Stockholm Centralstation,59.33014,18.058155,
85,740000001,740000001,2,12000,23130000010360.0,20740433013855.0,740000001,Stockholm Centralstation,59.33014,18.058155,
86,740000001,740000001,2,12000,23130000010360.0,20740433005919.0,740000001,Stockholm Centralstation,59.33014,18.058155,
87,740000001,740000001,2,12000,23130000010360.0,20740433012831.0,740000001,Stockholm Centralstation,59.33014,18.058155,
88,740000001,740000001,2,12000,23130000010360.0,20740433006943.0,740000001,Stockholm Centralstation,59.33014,18.058155,
89,740000001,740000001,2,12000,23130000010360.0,20740433052511.0,740000001,Stockholm Centralstation,59.33014,18.058155,
90,740000001,740000001,2,12000,23130000010360.0,20740433038175.0,740000001,Stockholm Centralstation,59.33014,18.058155,
91,740000001,740000001,2,12000,23130000010362.0,20740437027806.0,740000001,Stockholm Centralstation,59.33014,18.058155,
92,740000001,740000001,2,12000,23130000010362.0,20740437008606.0,740000001,Stockholm Centralstation,59.33014,18.058155,
93,740000001,740000001,2,12000,23130000010362.0,20740437003230.0,740000001,Stockholm Centralstation,59.33014,18.058155,
94,740000001,740000001,2,12000,23130000010362.0,20740437019358.0,740000001,Stockholm Centralstation,59.33014,18.058155,
95,740000001,740000001,2,12000,23130000010362.0,20740437047006.0,740000001,Stockholm Centralstation,59.33014,18.058155,
96,740000001,740000001,2,12000,23130000010362.0,20740437054430.0,740000001,Stockholm Centralstation,59.33014,18.058155,
97,740000001,740000001,2,12000,23130000010362.0,20740437000670.0,740000001,Stockholm Centralstation,59.33014,18.058155,
98,740000001,740000001,2,12000,23130000010362.0,20740437011166.0,740000001,Stockholm Centralstation,59.33014,18.058155,
99,740000001,740000001,2,12000,23130000010362.0,20740437017310.0,740000001,Stockholm Centralstation,59.33014,18.058155,
100,740000001,740000001,2,12000,23130000010362.0,20740437022942.0,740000001,Stockholm Centralstation,59.33014,18.058155,
101,740000001,740000001,2,12000,23130000010366.0,20740423035811.0,740000001,Stockholm Centralstation,59.33014,18.058155,
102,740000001,740000001,2,12000,23130000010366.0,20740423025827.0,740000001,Stockholm Centralstation,59.33014,18.058155,
103,740000001,740000001,2,12000,23130000010366.0,20740423045795.0,740000001,Stockholm Centralstation,59.33014,18.058155,
104,740000001,740000001,2,12000,23130000010367.0,20740429019871.0,740000001,Stockholm Centralstation,59.33014,18.058155,
105,740000001,740000001,2,12000,23130000010367.0,20740429006047.0,740000001,Stockholm Centralstation,59.33014,18.058155,
106,740000001,740000001,2,12000,23130000010367.0,20740429008095.0,740000001,Stockholm Centralstation,59.33014,18.058155,
107,740000001,740000001,2,12000,23130000010367.0,20740429059039.0,740000001,Stockholm Centralstation,59.33014,18.058155,
108,740000001,740000001,2,12000,23130000010367.0,20740429062623.0,740000001,Stockholm Centralstation,59.33014,18.058155,
109,740000001,740000001,2,12000,23130000010367.0,20740429051871.0,740000001,Stockholm Centralstation,59.33014,18.058155,
110,740000001,740000001,2,12000,23130000010367.0,20740429065183.0,740000001,Stockholm Centralstation,59.33014,18.058155,
111,740000001,740000001,2,12000,23130000010367.0,20740429063903.0,740000001,Stockholm Centralstation,59.33014,18.058155,
112,740000001,740000001,2,12000,23130000010367.0,20740429038303.0,740000001,Stockholm Centralstation,59.33014,18.058155,
113,740000001,740000001,2,12000,23130000010367.0,20740429053407.0,740000001,Stockholm Centralstation,59.33014,18.058155,
114,740000001,740000001,2,12000,23130000010369.0,20740437027806.0,740000001,Stockholm Centralstation,59.33014,18.058155,
115,740000001,740000001,2,12000,23130000010369.0,20740437008606.0,740000001,Stockholm Centralstation,59.33014,18.058155,
116,740000001,740000001,2,12000,23130000010369.0,20740437003230.0,740000001,Stockholm Centralstation,59.33014,18.058155,
117,740000001,740000001,2,12000,23130000010369.0,20740437019358.0,740000001,Stockholm Centralstation,59.33014,18.058155,
118,740000001,740000001,2,12000,23130000010369.0,20740437047006.0,740000001,Stockholm Centralstation,59.33014,18.058155,
119,740000001,740000001,2,12000,23130000010369.0,20740437054430.0,740000001,Stockholm Centralstation,59.33014,18.058155,
120,740000001,740000001,2,12000,23130000010369.0,20740437000670.0,740000001,Stockholm Centralstation,59.33014,18.058155,
121,740000001,740000001,2,12000,23130000010369.0,20740437011166.0,740000001,Stockholm Centralstation,59.33014,18.058155,
122,740000001,740000001,2,12000,23130000010369.0,20740437017310.0,740000001,Stockholm Centralstation,59.33014,18.058155,
123,740000001,740000001,2,12000,23130000010369.0,20740437022942.0,740000001,Stockholm Centralstation,59.33014,18.058155,
124,740000001,740000001,2,12000,23130000010374.0,20740431009187.0,740000001,Stockholm Centralstation,59.33014,18.058155,
125,740000001,740000001,2,12000,23130000010374.0,20740431015587.0,740000001,Stockholm Centralstation,59.33014,18.058155,
126,740000001,740000001,2,12000,23130000010374.0,20740431036835.0,740000001,Stockholm Centralstation,59.33014,18.058155,
127,740000001,740000001,2,12000,23130000010374.0,20740431036323.0,740000001,Stockholm Centralstation,59.33014,18.058155,
128,740000001,740000001,2,12000,23130000010375.0,20740433051743.0,740000001,Stockholm Centralstation,59.33014,18.058155,
129,740000001,740000001,2,12000,23130000010375.0,20740433002079.0,740000001,Stockholm Centralstation,59.33014,18.058155,
130,740000001,740000001,2,12000,23130000010375.0,20740433024351.0,740000001,Stockholm Centralstation,59.33014,18.058155,
131,740000001,740000001,2,12000,23130000010375.0,20740433013855.0,740000001,Stockholm Centralstation,59.33014,18.058155,
132,740000001,740000001,2,12000,23130000010375.0,20740433005919.0,740000001,Stockholm Centralstation,59.33014,18.058155,
133,740000001,740000001,2,12000,23130000010375.0,20740433012831.0,740000001,Stockholm Centralstation,59.33014,18.058155,
134,740000001,740000001,2,12000,23130000010375.0,20740433006943.0,740000001,Stockholm Centralstation,59.33014,18.058155,
135,740000001,740000001,2,12000,23130000010375.0,20740433052511.0,740000001,Stockholm Centralstation,59.33014,18.058155,
136,740000001,740000001,2,12000,23130000010375.0,20740433038175.0,740000001,Stockholm Centralstation,59.33014,18.058155,
137,740000001,740000001,2,12000,23130000010385.0,20740429019871.0,740000001,Stockholm Centralstation,59.33014,18.058155,
138,740000001,740000001,2,12000,23130000010385.0,20740429006047.0,740000001,Stockholm Centralstation,59.33014,18.058155,
139,740000001,740000001,2,12000,23130000010385.0,20740429008095.0,740000001,Stockholm Centralstation,59.33014,18.058155,
140,740000001,740000001,2,12000,23130000010385.0,20740429059039.0,740000001,Stockholm Centralstation,59.33014,18.058155,
141,740000001,740000001,2,12000,23130000010385.0,20740429062623.0,740000001,Stockholm Centralstation,59.33014,18.058155,
142,740000001,740000001,2,12000,23130000010385.0,20740429051871.0,740000001,Stockholm Centralstation,59.33014,18.058155,
143,740000001,740000001,2,12000,23130000010385.0,20740429065183.0,740000001,Stockholm Centralstation,59.33014,18.058155,
144,740000001,740000001,2,12000,23130000010385.0,20740429063903.0,740000001,Stockholm Centralstation,59.33014,18.058155,
145,740000001,740000001,2,12000,23130000010385.0,20740429038303.0,740000001,Stockholm Centralstation,59.33014,18.058155,
146,740000001,740000001,2,12000,23130000010385.0,20740429053407.0,740000001,Stockholm Centralstation,59.33014,18.058155,
147,740000001,740000001,2,12000,23130000010388.0,20740437027806.0,740000001,Stockholm Centralstation,59.33014,18.058155,
148,740000001,740000001,2,12000,23130000010388.0,20740437008606.0,740000001,Stockholm Centralstation,59.33014,18.058155,
149,740000001,740000001,2,12000,23130000010388.0,20740437003230.0,740000001,Stockholm Centralstation,59.33014,18.058155,
150,740000001,740000001,2,12000,23130000010388.0,20740437019358.0,740000001,Stockholm Centralstation,59.33014,18.058155,
151,740000001,740000001,2,12000,23130000010388.0,20740437047006.0,740000001,Stockholm Centralstation,59.33014,18.058155,
152,740000001,740000001,2,12000,23130000010388.0,20740437054430.0,740000001,Stockholm Centralstation,59.33014,18.058155,
153,740000001,740000001,2,12000,23130000010388.0,20740437000670.0,740000001,Stockholm Centralstation,59.33014,18.058155,
154,740000001,740000001,2,12000,23130000010388.0,20740437011166.0,740000001,Stockholm Centralstation,59.33014,18.058155,
155,740000001,740000001,2,12000,23130000010388.0,20740437017310.0,740000001,Stockholm Centralstation,59.33014,18.058155,
156,740000001,740000001,2,12000,23130000010388.0,20740437022942.0,740000001,Stockholm Centralstation,59.33014,18.058155,
157,740000001,740000001,2,12000,23130000010389.0,20740433051743.0,740000001,Stockholm Centralstation,59.33014,18.058155,
158,740000001,740000001,2,12000,23130000010389.0,20740433002079.0,740000001,Stockholm Centralstation,59.33014,18.058155,
159,740000001,740000001,2,12000,23130000010389.0,20740433024351.0,740000001,Stockholm Centralstation,59.33014,18.058155,
160,740000001,740000001,2,12000,23130000010389.0,20740433013855.0,740000001,Stockholm Centralstation,59.33014,18.058155,
161,740000001,740000001,2,12000,23130000010389.0,20740433005919.0,740000001,Stockholm Centralstation,59.33014,18.058155,
162,740000001,740000001,2,12000,23130000010389.0,20740433012831.0,740000001,Stockholm Centralstation,59.33014,18.058155,
163,740000001,740000001,2,12000,23130000010389.0,20740433006943.0,740000001,Stockholm Centralstation,59.33014,18.058155,
164,740000001,740000001,2,12000,23130000010389.0,20740433052511.0,740000001,Stockholm Centralstation,59.33014,18.058155,
165,740000001,740000001,2,12000,23130000010389.0,20740433038175.0,740000001,Stockholm Centralstation,59.33014,18.058155,
166,740000001,740000001,2,12000,23130000010393.0,20740431009187.0,740000001,Stockholm Centralstation,59.33014,18.058155,
167,740000001,740000001,2,12000,23130000010393.0,20740431015587.0,740000001,Stockholm Centralstation,59.33014,18.058155,
168,740000001,740000001,2,12000,23130000010393.0,20740431036835.0,740000001,Stockholm Centralstation,59.33014,18.058155,
169,740000001,740000001,2,12000,23130000010393.0,20740431036323.0,740000001,Stockholm Centralstation,59.33014,18.058155,
170,740000001,740000001,2,12000,23130000010408.0,20740423035811.0,740000001,Stockholm Centralstation,59.33014,18.058155,
171,740000001,740000001,2,12000,23130000010408.0,20740423025827.0,740000001,Stockholm Centralstation,59.33014,18.058155,
172,740000001,740000001,2,12000,23130000010408.0,20740423045795.0,740000001,Stockholm Centralstation,59.33014,18.058155,
173,740000001,740000001,2,12000,23130000010409.0,20740423035811.0,740000001,Stockholm Centralstation,59.33014,18.058155,
174,740000001,740000001,2,12000,23130000010409.0,20740423025827.0,740000001,Stockholm Centralstation,59.33014,18.058155,
175,740000001,740000001,2,12000,23130000010409.0,20740423045795.0,740000001,Stockholm Centralstation,59.33014,18.058155,
176,740000001,740000001,2,12000,23130000010410.0,20740423035811.0,740000001,Stockholm Centralstation,59.33014,18.058155,
177,740000001,740000001,2,12000,23130000010410.0,20740423025827.0,740000001,Stockholm Centralstation,59.33014,18.058155,
178,740000001,740000001,2,12000,23130000010410.0,20740423045795.0,740000001,Stockholm Centralstation,59.33014,18.058155,
179,740000001,740000001,2,12000,23130000010411.0,20740423035811.0,740000001,Stockholm Centralstation,59.33014,18.058155,
180,740000001,740000001,2,12000,23130000010411.0,20740423025827.0,740000001,Stockholm Centralstation,59.33014,18.058155,
181,740000001,740000001,2,12000,23130000010411.0,20740423045795.0,740000001,Stockholm Centralstation,59.33014,18.058155,
182,740000001,740000001,2,12000,23130000010412.0,20740423035811.0,740000001,Stockholm Centralstation,59.33014,18.058155,
183,740000001,740000001,2,12000,23130000010412.0,20740423025827.0,740000001,Stockholm Centralstation,59.33014,18.058155,
184,740000001,740000001,2,12000,23130000010412.0,20740423045795.0,740000001,Stockholm Centralstation,59.33014,18.058155,
185,740000001,740000001,2,12000,23130000010413.0,20740423035811.0,740000001,Stockholm Centralstation,59.33014,18.058155,
186,740000001,740000001,2,12000,23130000010413.0,20740423025827.0,740000001,Stockholm Centralstation,59.33014,18.058155,
187,740000001,740000001,2,12000,23130000010413.0,20740423045795.0,740000001,Stockholm Centralstation,59.33014,18.058155,
188,740000001,740000001,2,12000,23130000010414.0,20740423035811.0,740000001,Stockholm Centralstation,59.33014,18.058155,
189,740000001,740000001,2,12000,23130000010414.0,20740423025827.0,740000001,Stockholm Centralstation,59.33014,18.058155,
190,740000001,740000001,2,12000,23130000010414.0,20740423045795.0,740000001,Stockholm Centralstation,59.33014,18.058155,
191,740000001,740000001,2,12000,23130000010415.0,20740423035811.0,740000001,Stockholm Centralstation,59.33014,18.058155,
192,740000001,740000001,2,12000,23130000010415.0,20740423025827.0,740000001,Stockholm Centralstation,59.33014,18.058155,
193,740000001,740000001,2,12000,23130000010415.0,20740423045795.0,740000001,Stockholm Centralstation,59.33014,18.058155,
194,740000001,740000001,2,12000,23130000010416.0,20740429019871.0,740000001,Stockholm Centralstation,59.33014,18.058155,
195,740000001,740000001,2,12000,23130000010416.0,20740429006047.0,740000001,Stockholm Centralstation,59.33014,18.058155,
196,740000001,740000001,2,12000,23130000010416.0,20740429008095.0,740000001,Stockholm Centralstation,59.33014,18.058155,
197,740000001,740000001,2,12000,23130000010416.0,20740429059039.0,740000001,Stockholm Centralstation,59.33014,18.058155,
198,740000001,740000001,2,12000,23130000010416.0,20740429062623.0,740000001,Stockholm Centralstation,59.33014,18.058155,
199,740000001,740000001,2,12000,23130000010416.0,20740429051871.0,740000001,Stockholm Centralstation,59.33014,18.058155,
200,740000001,740000001,2,12000,23130000010416.0,20740429065183.0,740000001,Stockholm Centralstation,59.33014,18.058155,
201,740000001,740000001,2,12000,23130000010416.0,20740429063903.0,740000001,Stockholm Centralstation,59.33014,18.058155,
202,740000001,740000001,2,12000,23130000010416.0,20740429038303.0,740000001,Stockholm Centralstation,59.33014,18.058155,
203,740000001,740000001,2,12000,23130000010416.0,20740429053407.0,740000001,Stockholm Centralstation,59.33014,18.058155,
204,740000001,740000001,2,12000,20740432027865.0,23130000000947.0,740000001,Stockholm Centralstation,59.33014,18.058155,
205,740000001,740000001,2,12000,20740432027865.0,23130000010308.0,740000001,Stockholm Centralstation,59.33014,18.058155,
206,740000001,740000001,2,12000,20740432027865.0,23130000010317.0,740000001,Stockholm Centralstation,59.33014,18.058155,
207,740000001,740000001,2,12000,20740432027865.0,23130000010333.0,740000001,Stockholm Centralstation,59.33014,18.058155,
208,740000001,740000001,2,12000,20740432027865.0,23130000010431.0,740000001,Stockholm Centralstation,59.33014,18.058155,
209,740000001,740000001,2,12000,20740432027865.0,23130000010471.0,740000001,Stockholm Centralstation,59.33014,18.058155,
210,740000001,740000001,2,12000,20740432027865.0,23130000010472.0,740000001,Stockholm Centralstation,59.33014,18.058155,
