shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4393900000000000012,60.072478,15.537071,3,
4393900000000000012,60.032323,15.642321,4,
4393900000000000012,60.002714,15.787765,5,
4393900000000000012,59.990463,15.815703,6,
4393900000000000012,59.958462,16.009393,7,
4393900000000000012,59.872616,16.084064,8,
4393900000000000012,59.769763,16.208185,9,
4393900000000000012,59.706625,16.219685,10,
4393900000000000012,59.615895,16.219420,11,
4393900000000000012,59.571784,16.389761,12,
4393900000000000012,59.607703,16.551707,13,
4393900000000000013,59.607703,16.551707,1,
4393900000000000013,59.571784,16.389761,2,
4393900000000000013,59.615895,16.219420,3,
4393900000000000013,59.706625,16.219685,4,
4393900000000000013,59.769763,16.208185,5,
4393900000000000013,59.872616,16.084064,6,
4393900000000000013,59.958462,16.009393,7,
4393900000000000013,59.990463,15.815703,8,
4393900000000000013,60.002714,15.787765,9,
4393900000000000013,60.136321,15.405814,10,
4393900000000000013,60.149828,15.182648,11,
4393900000000000014,60.149828,15.182648,1,
4393900000000000014,60.136321,15.405814,2,
4393900000000000014,60.072478,15.537071,3,
4393900000000000014,60.032323,15.642321,4,
4393900000000000014,60.002714,15.787765,5,
4393900000000000014,59.990463,15.815703,6,
4393900000000000014,59.958462,16.009393,7,
4393900000000000014,59.872616,16.084064,8,
4393900000000000014,59.769763,16.208185,9,
4393900000000000014,59.706625,16.219685,10,
4393900000000000014,59.615895,16.219420,11,
4393900000000000014,59.571784,16.389761,12,
4393900000000000014,59.607703,16.551707,13,
4393900000000000015,59.607703,16.551707,1,
4393900000000000015,59.571784,16.389761,2,
4393900000000000015,59.615895,16.219420,3,
4393900000000000015,59.706625,16.219685,4,
4393900000000000015,59.769763,16.208185,5,
4393900000000000015,59.872616,16.084064,6,
4393900000000000015,59.958462,16.009393,7,
4393900000000000015,59.990463,15.815703,8,
4393900000000000015,60.002714,15.787765,9,
4393900000000000015,60.136321,15.405814,10,
4393900000000000015,60.149828,15.182648,11,
4393900000000000018,61.004901,14.542995,1,
4393900000000000018,61.009054,14.560044,2,
4393900000000000018,60.885116,15.115628,3,
4393900000000000018,60.818240,15.018401,4,
4393900000000000018,60.733992,15.003328,5,
4393900000000000018,60.675342,15.094366,6,
4393900000000000018,60.598796,15.081377,7,
4393900000000000018,60.560177,15.138593,8,
4393900000000000018,60.483535,15.425840,9,
4393900000000000019,61.004901,14.542995,1,
4393900000000000019,61.009054,14.560044,2,
4393900000000000019,60.885116,15.115628,3,
4393900000000000019,60.818240,15.018401,4,
4393900000000000019,60.733992,15.003328,5,
4393900000000000019,60.675342,15.094366,6,
4393900000000000019,60.598796,15.081377,7,
4393900000000000019,60.560177,15.138593,8,
4393900000000000019,60.483535,15.425840,9,
4393900000000000020,61.004901,14.542995,1,
4393900000000000020,61.009054,14.560044,2,
4393900000000000020,60.885116,15.115628,3,
4393900000000000020,60.818240,15.018401,4,
4393900000000000020,60.733992,15.003328,5,
4393900000000000020,60.675342,15.094366,6,
4393900000000000020,60.598796,15.081377,7,
4393900000000000020,60.560177,15.138593,8,
4393900000000000020,60.483535,15.425840,9,
4393900000000000021,61.004901,14.542995,1,
4393900000000000021,61.009054,14.560044,2,
4393900000000000021,60.885116,15.115628,3,
4393900000000000021,60.818240,15.018401,4,
4393900000000000021,60.733992,15.003328,5,
4393900000000000021,60.675342,15.094366,6,
4393900000000000021,60.598796,15.081377,7,
4393900000000000021,60.560177,15.138593,8,
4393900000000000021,60.483535,15.425840,9,
4393900000000000022,60.483535,15.425840,1,
4393900000000000022,60.603289,15.641624,2,
4393900000000000022,60.569571,16.266361,3,
4393900000000000022,60.582156,16.534530,4,
4393900000000000022,60.614347,16.777880,5,
4393900000000000022,60.676119,17.151220,6,
4393900000000000023,59.330139,18.058155,1,
4393900000000000023,59.649570,17.929186,2,
4393900000000000023,59.858533,17.646086,3,
4393900000000000023,60.676119,17.151220,4,
4393900000000000023,61.299600,17.035680,5,
4393900000000000023,61.724494,17.109038,6,
4393900000000000023,62.386874,17.315630,7,
4393900000000000024,60.483535,15.425840,1,
4393900000000000024,60.603289,15.641624,2,
4393900000000000024,60.569571,16.266361,3,
4393900000000000024,60.582156,16.534530,4,
4393900000000000024,60.614347,16.777880,5,
4393900000000000024,60.676119,17.151220,6,
4393900000000000413,58.322981,15.131987,1,
4393900000000000413,58.392950,15.092572,2,
4393900000000000413,58.537486,15.048309,3,
4393900000000000413,59.067102,15.110379,4,
4393900000000000413,59.126374,15.140279,5,
4393900000000000413,59.269985,15.202329,6,
4393900000000000413,59.278941,15.211344,7,
4393900000000000413,59.467644,15.363781,8,
4393900000000000413,59.594592,15.228830,9,
4393900000000000413,59.713609,15.143306,10,
4393900000000000413,59.872712,14.986853,11,
4393900000000000413,59.933651,14.943210,12,
4393900000000000413,60.076395,15.005463,13,
4393900000000000413,60.149828,15.182648,14,
4393900000000000413,60.483535,15.425840,15,
4393900000000000413,60.603289,15.641624,16,
4393900000000000413,60.569571,16.266361,17,
4393900000000000413,60.582156,16.534530,18,
4393900000000000413,60.614347,16.777880,19,
4393900000000000413,60.676119,17.151220,20,
4393900000000000025,57.708894,11.973478,1,
4393900000000000025,57.926861,12.532493,2,
4393900000000000025,58.079186,13.021274,3,
4393900000000000025,58.176100,13.553793,4,
4393900000000000025,58.390896,13.853193,5,
4393900000000000025,58.706022,14.128391,6,
4393900000000000025,59.067102,15.110379,7,
4393900000000000025,58.996592,16.208325,8,
4393900000000000025,59.162411,17.645368,9,
4393900000000000025,59.330139,18.058155,10,
4393900000000000026,59.330139,18.058155,1,
4393900000000000026,58.996592,16.208325,2,
4393900000000000026,59.067102,15.110379,3,
4393900000000000026,58.390896,13.853193,4,
4393900000000000026,57.708894,11.973478,5,
4393900000000000729,59.330139,18.058155,1,
4393900000000000729,58.996592,16.208325,2,
4393900000000000729,58.390896,13.853193,3,
4393900000000000729,57.708894,11.973478,4,
4393900000000000027,57.708894,11.973478,1,
4393900000000000027,58.390896,13.853193,2,
4393900000000000027,58.996592,16.208325,3,
4393900000000000027,59.162411,17.645368,4,
4393900000000000027,59.330139,18.058155,5,
4393900000000000028,59.607703,16.551707,1,
4393900000000000028,59.506671,16.004217,2,
4393900000000000028,59.397107,15.841060,3,
4393900000000000028,59.278941,15.211344,4,
4393900000000000028,59.269985,15.202329,5,
4393900000000000028,59.126374,15.140279,6,
4393900000000000028,59.067102,15.110379,7,
4393900000000000028,58.989392,14.616657,8,
4393900000000000028,58.706022,14.128391,9,
4393900000000000028,58.390896,13.853193,10,
4393900000000000028,58.176100,13.553793,11,
4393900000000000028,58.079186,13.021274,12,
4393900000000000028,58.031202,12.810288,13,
4393900000000000028,57.926861,12.532493,14,
4393900000000000028,57.708894,11.973478,15,
4393900000000000203,59.330139,18.058155,1,
4393900000000000203,59.361034,17.970936,2,
4393900000000000203,59.568758,17.532813,3,
4393900000000000203,59.644324,17.086745,4,
4393900000000000203,59.607703,16.551707,5,
4393900000000000203,59.506671,16.004217,6,
4393900000000000203,59.397107,15.841060,7,
4393900000000000203,59.278941,15.211344,8,
4393900000000000203,59.269985,15.202329,9,
4393900000000000203,59.126374,15.140279,10,
4393900000000000203,59.067102,15.110379,11,
4393900000000000203,58.989392,14.616657,12,
4393900000000000203,58.706022,14.128391,13,
4393900000000000203,58.390896,13.853193,14,
4393900000000000203,58.176100,13.553793,15,
4393900000000000203,58.079186,13.021274,16,
4393900000000000203,58.031202,12.810288,17,
4393900000000000203,57.926861,12.532493,18,
4393900000000000203,57.708894,11.973478,19,
4393900000000001025,59.397107,15.841060,1,
4393900000000001025,59.278941,15.211344,2,
4393900000000001025,59.269985,15.202329,3,
4393900000000001025,59.126374,15.140279,4,
4393900000000001025,59.067102,15.110379,5,
4393900000000001025,58.989392,14.616657,6,
4393900000000001025,58.706022,14.128391,7,
4393900000000001025,58.390896,13.853193,8,
4393900000000001025,58.176100,13.553793,9,
4393900000000001025,58.079186,13.021274,10,
4393900000000001025,58.031202,12.810288,11,
4393900000000001025,57.926861,12.532493,12,
4393900000000001025,57.708894,11.973478,13,
4393900000000000029,59.330139,18.058155,1,
4393900000000000029,58.996592,16.208325,2,
4393900000000000029,58.390896,13.853193,3,
4393900000000000029,57.708894,11.973478,4,
4393900000000000030,59.330139,18.058155,1,
4393900000000000030,58.596626,16.183346,2,
4393900000000000030,58.416635,15.624963,3,
4393900000000000030,57.652439,14.693982,4,
4393900000000000030,56.898781,14.556318,5,
4393900000000000030,56.157759,13.763138,6,
4393900000000000030,55.708098,13.186900,7,
4393900000000000030,55.609458,13.000913,8,
4393900000000000030,55.629571,12.648922,9,
4393900000000000030,55.401502,10.387004,10,
4393900000000000030,54.823654,9.358686,11,
4393900000000000030,53.553302,10.006403,12,
4393900000000000030,52.525000,13.370007,13,
4393900000000000031,59.330139,18.058155,1,
4393900000000000031,58.596626,16.183346,2,
4393900000000000031,58.416635,15.624963,3,
4393900000000000031,57.652439,14.693982,4,
4393900000000000031,56.898781,14.556318,5,
4393900000000000031,56.157759,13.763138,6,
4393900000000000031,55.708098,13.186900,7,
4393900000000000031,55.609458,13.000913,8,
4393900000000000031,55.629571,12.648922,9,
4393900000000000031,55.401502,10.387004,10,
4393900000000000031,54.823654,9.358686,11,
4393900000000000031,53.553302,10.006403,12,
4393900000000000031,52.525000,13.370007,13,
4393900000000000598,59.330139,18.058155,1,
4393900000000000598,58.596626,16.183346,2,
4393900000000000598,58.416635,15.624963,3,
4393900000000000598,57.652439,14.693982,4,
4393900000000000598,56.898781,14.556318,5,
4393900000000000598,56.157759,13.763138,6,
4393900000000000598,55.708098,13.186900,7,
4393900000000000598,55.609458,13.000913,8,
4393900000000000598,55.629571,12.648922,9,
4393900000000000598,55.401502,10.387004,10,
4393900000000000598,54.823654,9.358686,11,
4393900000000000598,53.553302,10.006403,12,
4393900000000000598,52.549020,13.389851,13,
4393900000000000599,59.330139,18.058155,1,
4393900000000000599,58.596626,16.183346,2,
4393900000000000599,58.416635,15.624963,3,
4393900000000000599,57.652439,14.693982,4,
4393900000000000599,56.898781,14.556318,5,
4393900000000000599,56.157759,13.763138,6,
4393900000000000599,55.708098,13.186900,7,
4393900000000000599,55.609458,13.000913,8,
4393900000000000599,55.629571,12.648922,9,
4393900000000000599,55.401502,10.387004,10,
4393900000000000599,54.823654,9.358686,11,
4393900000000000599,53.553302,10.006403,12,
4393900000000000599,52.549020,13.389851,13,
4393900000000000838,59.330139,18.058155,1,
4393900000000000838,59.067102,15.110379,2,
4393900000000000838,58.176100,13.553793,3,
4393900000000000838,57.708894,11.973478,4,
4393900000000000838,56.669271,12.864841,5,
4393900000000000838,55.708098,13.186900,6,
4393900000000000838,55.609458,13.000913,7,
4393900000000000838,55.629571,12.648922,8,
4393900000000000838,55.401502,10.387004,9,
4393900000000000838,54.823654,9.358686,10,
4393900000000000838,53.553302,10.006403,11,
4393900000000000838,52.525000,13.370007,12,
4393900000000000839,59.330139,18.058155,1,
4393900000000000839,59.067102,15.110379,2,
