stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021074000254000,Gällivare C/Resecentrum,67.133535,20.651306,1,,
9021074000260000,Eslöv station,55.837715,13.305489,1,,
9021074000262000,Arboga station,59.397107,15.841060,1,,
9021074000263000,Mellansel station,63.428423,18.307723,1,,
9021074000265000,Nattavaara station,66.753895,20.950841,1,,
9021074000266000,Fagersta Centralstation,59.990463,15.815703,1,,
9021074000268000,Murjek station,66.484136,20.880714,1,,
9021074000277000,Ockelbo station,60.891310,16.721029,1,,
9021074000282000,Jörn station,65.054424,20.030386,1,,
9021074000283000,Ed station,58.913389,11.932940,1,,
9021074000287000,Väse station,59.381610,13.853490,1,,
9021074000291000,Ludvika station,60.149828,15.182648,1,,
9021074000294000,Bastuträsk station,64.790005,20.041180,1,,
9021074000300000,Borås Centralstation,57.720837,12.932003,1,,
9021074000301000,Tierp station,60.345325,17.514373,1,,
9021074000302000,Mora station,61.009054,14.560044,1,,
9021074000303000,Djurås station,60.560177,15.138593,1,,
9021074000308000,Duved station,63.389761,12.917674,1,,
9021081000308000,Bischofshofen,0,0,1,,
9021081000310000,St Johann im Pongau,0,0,1,,
9021076000318000,Kongsvinger,60.187716,12.003855,1,,
9021081000320000,Zell am See,0,0,1,,
9021074000322000,Gagnef station,60.598796,15.081377,1,,
9021081000328000,St Johann in Tirol,0,0,1,,
9021081000329000,Kitzbuehel,0,0,1,,
9021074000345000,Kilafors station,61.230969,16.570443,1,,
9021074000347000,Storfors station,59.533168,14.271408,1,,
9021074000361000,Örebro Södra station,59.269985,15.202329,1,,
9021081000378000,St Anton am Arlberg,0,0,1,,
9021074000385000,Tingsryd busstation,56.523997,14.975528,1,,
9021074000419000,Hällefors station,59.782636,14.518613,1,,
9021074000448000,Edsåsdalen,63.315642,13.105983,1,,
9021074000455000,Vålådalen fjällstation,63.148743,12.965211,1,,
9021081000462000,Salzburg Hbf,0,0,1,,
9021074000480000,Uddevalla Kampenhof,58.349913,11.930438,1,,
9021074000482000,Grythyttan station,59.704246,14.530401,1,,
9021081000482000,Bad Gastein,0,0,1,,
9021074000491000,Funäsdalen busstation,62.545106,12.545373,1,,
9021081000503000,Wörgl Hbf,0,0,1,,
9021074000506000,Ramundberget,62.700914,12.388691,1,,
9021076000508000,Ski,59.719248,10.834666,1,,
9021081000509000,Jenbach,0,0,1,,
9021074000511000,Hovmantorp station,56.785841,15.140661,1,,
9021086000512000,Odense,55.401502,10.387004,1,,
9021076000516000,Moss,59.431915,10.657141,1,,
9021076000518000,Rygge,59.378044,10.747571,1,,
9021076000519000,Råde,59.347426,10.866098,1,,
9021076000522000,Fredrikstad,59.208998,10.950773,1,,
9021081000522000,Innsbruck Hbf,0,0,1,,
9021076000527000,Sarpsborg,59.286015,11.118245,1,,
9021076000546000,Halden,59.120283,11.383950,1,,
9021074000556000,Arlanda Centralstation,59.649570,17.929186,1,,
9021074000559000,Knivsta station,59.725703,17.786687,1,,
9021074000569000,Vårgårda station,58.031202,12.810288,1,,
9021074000602000,Gnarp station,62.055708,17.244239,1,,
9021074000615000,Arbrå station,61.470321,16.380029,1,,
9021074000620000,Huskvarna station,57.782493,14.265303,1,,
9021074000622000,Stockholm Cityterminalen,59.330843,18.056374,1,,
9021081000626000,Schladming,0,0,1,,
9021086000626000,Köbenhavn H,55.673057,12.564474,1,,
9021074000632000,Holmsveden station,61.118135,16.721789,1,,
9021074000635000,Lingbo station,61.044847,16.672847,1,,
9021074000638000,Ställdalen station,59.933651,14.943210,1,,
9021074000660000,Bålsta station,59.568758,17.532813,1,,
9021074000705000,Jakobsberg station,59.423414,17.832892,1,,
9021074000709000,Järna station,59.093368,17.567246,1,,
9021074000753000,Vallsta station,61.517530,16.367728,1,,
9021074000765000,Stockholm södra station,59.314171,18.064493,1,,
9021074000773000,Sundbyberg station,59.361034,17.970936,1,,
9021086000798000,Höje Taastrup,55.652253,12.300031,1,,
9021074000816000,Nykroppa station,59.623839,14.307433,1,,
9021086000856000,Örestad,55.628409,12.578791,1,,
9021086000858000,Copenhagen Airport,55.629571,12.648922,1,,
9021074000924000,Stenstorp station,58.273669,13.714795,1,,
9021074001126000,Göteborg stad,58.593500,13.345571,1,,
9021074001317000,Stockholm länszon,59.331548,18.060269,1,,
9021074001370000,Vemdalsskalet Hotell,62.482864,13.974011,1,,
9021074001432000,Katterjåkk station,68.419390,18.163323,1,,
9021074001433000,Låktatjåkka station,68.423462,18.326435,1,,
9021074001529000,Malmö stad,55.606202,12.999987,1,,
9021074001541000,Stockholm Citytermin Kungsbron,59.333166,18.054471,1,,
9021074001559000,Ljusne station,61.212915,17.111869,1,,
9021074001560000,Iggesund station,61.645630,17.081812,1,,
9021074001570000,Örnsköldsvik Centralstation,63.289285,18.704305,1,,
9021074001581000,Umeå Östra station,63.817659,20.293450,1,,
9021074001583000,Nordmaling Resecentrum/Station,63.578306,19.486285,1,,
9021074001601000,Surte station,57.825033,12.014508,1,,
9021074001602000,Kiruna station,67.867378,20.200507,1,,
9021074001617000,Stockholm City station,59.331141,18.059434,1,,
9021074001622000,Njurundabommen station,62.268358,17.377253,1,,
9021076002348000,Oslo havn,59.903263,10.743169,1,,
9021076002402000,Narvik stn,68.441751,17.441344,1,,
9021076002404000,Rombak,68.403771,17.791044,1,,
9021076002405000,Katterat,68.397621,17.965881,1,,
9021076002406000,Björnfjell,68.432093,18.071072,1,,
9021074004383000,Stockholm C Klarabergsviadukte,59.330732,18.057596,1,,
9021074007178000,Uppsala Stationsgatan,59.859935,17.646681,1,,
9021074007354000,Uppsala Stora Torget,59.858551,17.639019,1,,
9021074007414000,Uppsala Vaksala torg,59.861953,17.646168,1,,
9021074007415000,Uppsala Vaksalagatan,59.860176,17.641000,1,,
9021074010040000,Arvika Busstationen,59.655473,12.586938,1,,
9021080010100000,Berlin Hbf,52.525000,13.370007,1,,
9021080010102000,Berlin Gesundbrunnen,52.549020,13.389851,1,,
9021074010113000,Djurås centrum,60.560241,15.131573,1,,
9021074010441000,Gnarp Vallen,62.054665,17.240920,1,,
9021074010444000,Enafors Jämtlandia,63.288901,12.338480,1,,
9021074010464000,Grythyttan torget,59.706315,14.536416,1,,
9021074010760000,Karlstad Busstationen,59.379200,13.493073,1,,
9021074010955000,Linköping Fjärrbussterminal,58.419427,15.618583,1,,
9021074011078000,Motala Stora Torget,58.536376,15.036761,1,,
9021074011251000,Ronneby Torg,56.210280,15.276399,1,,
9021074011490000,Stenstorp Ågatan,58.272329,13.716902,1,,
9021074011754000,Arvika Arvikafestivalen,59.648581,12.621034,1,,
9021074011860000,Västerås Vasagatan,59.609509,16.546610,1,,
9021074012010000,Ed centrum,58.911850,11.934381,1,,
9021074012144000,Stockholm Klara Mälarstrand,59.327829,18.058265,1,,
9021076012405000,Søsterbekk,68.435230,18.003259,1,,
9021074012655000,Enköping Gustav Adolfs plan,59.636785,17.075448,1,,
9021074012938000,Säter torget,60.347072,15.752616,1,,
9021074012993000,Borlänge centrum,60.485607,15.431581,1,,
9021074013013000,Stora torget,60.607322,15.630686,1,,
9021074013432000,Bruksvallarna Stig Myhrs,62.641367,12.417472,1,,
9021074013462000,Östersund busstation,63.175779,14.639661,1,,
9021074013726000,Jörn busstation,65.058437,20.040365,1,,
9021074014839000,Gällivare Lapland Airport,67.133620,20.815299,1,,
9021074014841000,Älvsbyn Kommunhuset,65.673683,21.005758,1,,
9021074014856000,Luleå busstation,65.585629,22.160657,1,,
9021074014912000,Boden gamla busstation,65.826708,21.678709,1,,
9021074014990000,Kiruna gamla busstation,67.852869,20.233439,1,,
9021074015017000,Sundsvall Tullgatan,62.388297,17.311835,1,,
9021074015325000,Timrå torget,62.486597,17.325360,1,,
9021074015508000,Örnsköldsvik flygplats,63.411602,18.991415,1,,
9021074015574000,Malmö Anna Lindhs plats,55.608470,12.995460,1,,
9021074015585000,Göteborg Nordstan,57.709244,11.970788,1,,
9021074016547000,Lund Bantorget,55.704126,13.188566,1,,
9021074016757000,Lund Bankgatan,55.700577,13.195725,1,,
9021074017297000,Lund Rallaregatan,55.707092,13.182735,1,,
