trip_id,organization_name,is_operator
393900000000000001,SJ AB,1
393900000000000006,SJ AB,1
393900000000001083,SJ AB,1
393900000000001647,SJ AB,1
393900000000000002,SJ AB,1
393900000000000003,SJ AB,1
393900000000000018,SJ AB,1
393900000000000004,SJ AB,1
393900000000000816,SJ AB,1
393900000000000005,SJ AB,1
393900000000000010,SJ AB,1
393900000000000826,SJ AB,1
393900000000001085,SJ AB,1
393900000000000007,SJ AB,1
393900000000000964,SJ AB,1
393900000000001615,SJ AB,1
393900000000000008,SJ AB,1
393900000000001000,SJ AB,1
393900000000000009,SJ AB,1
393900000000000381,SJ AB,1
393900000000000475,SJ AB,1
393900000000001021,SJ AB,1
393900000000001243,SJ AB,1
393900000000001386,SJ AB,1
393900000000000011,SJ AB,1
393900000000000012,SJ AB,1
393900000000000019,SJ AB,1
393900000000000020,SJ AB,1
393900000000001129,SJ AB,1
393900000000000013,SJ AB,1
393900000000000014,SJ AB,1
393900000000000015,SJ AB,1
393900000000000016,SJ AB,1
393900000000000017,SJ AB,1
393900000000000021,SJ AB,1
393900000000000022,SJ AB,1
393900000000000029,SJ AB,1
393900000000000023,SJ AB,1
393900000000000024,SJ AB,1
393900000000000025,SJ AB,1
393900000000000026,SJ AB,1
393900000000000027,SJ AB,1
393900000000000028,SJ AB,1
393900000000000975,SJ AB,1
393900000000000030,SJ AB,1
393900000000000343,SJ AB,1
393900000000000507,SJ AB,1
393900000000000031,SJ AB,1
393900000000001162,SJ AB,1
393900000000000032,SJ AB,1
393900000000001163,SJ AB,1
393900000000000033,SJ AB,1
393900000000001164,SJ AB,1
393900000000000034,SJ AB,1
393900000000000223,SJ AB,1
393900000000000428,SJ AB,1
393900000000000819,SJ AB,1
393900000000001099,SJ AB,1
393900000000001329,SJ AB,1
393900000000001794,SJ AB,1
393900000000000035,SJ AB,1
393900000000001165,SJ AB,1
393900000000000036,SJ AB,1
393900000000000037,SJ AB,1
393900000000000038,SJ AB,1
393900000000000039,SJ AB,1
393900000000000715,SJ AB,1
393900000000000716,SJ AB,1
393900000000000736,SJ AB,1
393900000000000737,SJ AB,1
393900000000000743,SJ AB,1
393900000000000744,SJ AB,1
393900000000000752,SJ AB,1
393900000000000753,SJ AB,1
393900000000000774,SJ AB,1
393900000000000775,SJ AB,1
393900000000001068,SJ AB,1
393900000000001075,SJ AB,1
393900000000001443,SJ AB,1
393900000000001444,SJ AB,1
393900000000001543,SJ AB,1
393900000000001544,SJ AB,1
393900000000000040,SJ AB,1
393900000000000041,SJ AB,1
393900000000000042,SJ AB,1
393900000000000043,SJ AB,1
